,original_brand,brand_ch,brand_en,cleaned_brand
1639,麗克特,麗克特,,麗克特
1629,三洋,三洋,,三洋
1620,唯可,唯可,,唯可
1618,台農崙背,台農崙背,,台農崙背
1617,雅雪舒,雅雪舒,,雅雪舒
1615,大研生醫,大研生醫,,大研生醫
1611,蕾莉歐,蕾莉歐,,蕾莉歐
1610,喀爾巴阡,喀爾巴阡,,喀爾巴阡
1609,超級香,超級香,,超級香
1604,揚子,揚子,,揚子
1651,雲米,雲米,,雲米
2465,菊正宗,菊正宗,,菊正宗
1514,海滴,海滴,,海滴
1509,上田,上田,,上田
1436,愛爾,愛爾,,愛爾
1434,中一電工,中一電工,,中一電工
1433,臺鹽,臺鹽,,臺鹽
1430,深夜食堂,深夜食堂,,深夜食堂
1424,妍美会,妍美会,,妍美会
1421,璞草園,璞草園,,璞草園
1419,山崎,山崎,,山崎
1415,詹麵,詹麵,,詹麵
1414,鉑潤肌,鉑潤肌,,鉑潤肌
1413,大隱珈琲,大隱珈琲,,大隱珈琲
1412,酷椰嶼,酷椰嶼,,酷椰嶼
1410,明治,明治,,明治
1405,一風堂,一風堂,,一風堂
1402,活沛多,活沛多,,活沛多
1400,歐芮坦,歐芮坦,,歐芮坦
1395,新普利,新普利,,新普利
1390,皇冠,皇冠,,皇冠
1388,檸檬堂,檸檬堂,,檸檬堂
1386,農純鄉,農純鄉,,農純鄉
1385,專科,專科,,專科
1384,真柑淨,真柑淨,,真柑淨
1381,歐力婕,歐力婕,,歐力婕
1379,耕心田,耕心田,,耕心田
1373,阿華田,阿華田,,阿華田
1372,寧記,寧記,,寧記
1361,京紅,京紅,,京紅
1360,叡頌,叡頌,,叡頌
1437,雪比,雪比,,雪比
1439,知覺,知覺,,知覺
1444,卡薩咖啡,卡薩咖啡,,卡薩咖啡
1445,敏亦樂,敏亦樂,,敏亦樂
1507,維他盒子,維他盒子,,維他盒子
1503,和田順,和田順,,和田順
1501,金蜜蜂,金蜜蜂,,金蜜蜂
1499,享味食光,享味食光,,享味食光
1498,南門魚丸,南門魚丸,,南門魚丸
1497,極淨適,極淨適,,極淨適
1495,科帥,科帥,,科帥
1493,大醇豆,大醇豆,,大醇豆
1492,猋,猋,,猋
1491,織眠家族,織眠家族,,織眠家族
1486,紅薑黃先生,紅薑黃先生,,紅薑黃先生
1480,培寶,培寶,,培寶
1479,金饌,金饌,,金饌
1513,貝利達,貝利達,,貝利達
1478,大研,大研,,大研
1474,不二珍套,不二珍套,,不二珍套
1470,香草集,香草集,,香草集
1466,優芮珂絲,優芮珂絲,,優芮珂絲
1464,雅方,雅方,,雅方
1461,卡樂芙,卡樂芙,,卡樂芙
1457,百齡,百齡,,百齡
1456,伊萊克斯,伊萊克斯,,伊萊克斯
1453,豐新鮮,豐新鮮,,豐新鮮
1451,長髮公主的秘密,長髮公主的秘密,,長髮公主的秘密
1449,樂活,樂活,,樂活
1448,台畜,台畜,,台畜
1447,東元,東元,,東元
1446,富統,富統,,富統
1476,御姬賞,御姬賞,,御姬賞
2468,世界紀行,世界紀行,,世界紀行
2469,普登,普登,,普登
2470,源珍,源珍,,源珍
3493,純萃喝,純萃喝,,純萃喝
3492,人可和,人可和,,人可和
3488,伊麗莎白雅頓,伊麗莎白雅頓,,伊麗莎白雅頓
3481,長庚生技,長庚生技,,長庚生技
3472,幸福花浴,幸福花浴,,幸福花浴
3471,肯麥斯,肯麥斯,,肯麥斯
3470,草本風采,草本風采,,草本風采
3468,金牌大師,金牌大師,,金牌大師
3465,韓國2080,韓國2080,,韓國2080
3464,小銅板,小銅板,,小銅板
3462,十味觀,十味觀,,十味觀
3461,凱娜,凱娜,,凱娜
3459,達能,達能,,達能
3456,百喬生醫,百喬生醫,,百喬生醫
3455,松木,松木,,松木
3454,健康總匯,健康總匯,,健康總匯
3453,創鮮家,創鮮家,,創鮮家
3451,元氣王,元氣王,,元氣王
3450,御皇居,御皇居,,御皇居
3448,大炒一番,大炒一番,,大炒一番
3447,巷口乾麵,巷口乾麵,,巷口乾麵
3442,美娜多,美娜多,,美娜多
3441,佳貝,佳貝,,佳貝
3439,奇寶,奇寶,,奇寶
3437,舒珊,舒珊,,舒珊
3435,全植媽媽,全植媽媽,,全植媽媽
3431,好寶貝,好寶貝,,好寶貝
3494,博比,博比,,博比
3429,益菌革命,益菌革命,,益菌革命
3496,三菱,三菱,,三菱
3500,婦樂寧,婦樂寧,,婦樂寧
3576,千歲,千歲,,千歲
3575,美的冒泡,美的冒泡,,美的冒泡
3572,布朗博士,布朗博士,,布朗博士
3571,三井生技,三井生技,,三井生技
3567,妙可適,妙可適,,妙可適
3564,天然一膳,天然一膳,,天然一膳
3562,蓓蕊,蓓蕊,,蓓蕊
3561,艾瑪植萃,艾瑪植萃,,艾瑪植萃
3559,羅多倫和餐,羅多倫和餐,,羅多倫和餐
3550,愛棒,愛棒,,愛棒
3548,興農,興農,,興農
3546,哈妮來,哈妮來,,哈妮來
3543,耐斯,耐斯,,耐斯
3540,富士通,富士通,,富士通
3539,晶工,晶工,,晶工
3537,台灣g霸,台灣g霸,,台灣g霸
3534,悠安美,悠安美,,悠安美
3526,永用牌,永用牌,,永用牌
3525,黃金盾,黃金盾,,黃金盾
3522,布瓦宏,布瓦宏,,布瓦宏
3519,頂尖國際,頂尖國際,,頂尖國際
3512,咖樂迪,咖樂迪,,咖樂迪
3511,快護,快護,,快護
3508,愛恩富,愛恩富,,愛恩富
3506,248農學市集,248農學市集,,248農學市集
3504,可立潔,可立潔,,可立潔
3503,貝克,貝克,,貝克
3499,呼嚕貓,呼嚕貓,,呼嚕貓
3428,每朝健康,每朝健康,,每朝健康
3426,齒方籤,齒方籤,,齒方籤
3423,自白肌,自白肌,,自白肌
3313,永信,永信,,永信
3309,莫札特,莫札特,,莫札特
3306,六合,六合,,六合
3304,歐米豆,歐米豆,,歐米豆
3301,睛亮,睛亮,,睛亮
3300,大嚐津,大嚐津,,大嚐津
3299,髮蔓濃,髮蔓濃,,髮蔓濃
3297,德瑪愛,德瑪愛,,德瑪愛
3291,愛康,愛康,,愛康
3289,別海,別海,,別海
3287,信東,信東,,信東
3284,頂燒,頂燒,,頂燒
3278,民生,民生,,民生
3264,小太陽,小太陽,,小太陽
3262,海饌,海饌,,海饌
3259,德妍思,德妍思,,德妍思
3254,北的快適工房,北的快適工房,,北的快適工房
3249,北海道大雪山,北海道大雪山,,北海道大雪山
3247,湯姆盛,湯姆盛,,湯姆盛
3246,益豆之優,益豆之優,,益豆之優
3244,伯爵,伯爵,,伯爵
3235,歡樂派,歡樂派,,歡樂派
3234,朝日,朝日,,朝日
3231,百樂潔,百樂潔,,百樂潔
3226,優你可,優你可,,優你可
3221,愛戀咖啡,愛戀咖啡,,愛戀咖啡
3220,微美咖啡,微美咖啡,,微美咖啡
3317,樂家咖啡,樂家咖啡,,樂家咖啡
3320,南亞牌,南亞牌,,南亞牌
3329,優護,優護,,優護
3332,艾特優,艾特優,,艾特優
3415,雄獅,雄獅,,雄獅
3405,東銘,東銘,,東銘
3404,丸友,丸友,,丸友
3401,川中,川中,,川中
3400,派仕,派仕,,派仕
3399,陸丁博士,陸丁博士,,陸丁博士
3389,丸山,丸山,,丸山
3387,白象,白象,,白象
3386,路易莎,路易莎,,路易莎
3383,好朋友,好朋友,,好朋友
3380,山豬園,山豬園,,山豬園
3374,沐可麗,沐可麗,,沐可麗
3366,非寵不可,非寵不可,,非寵不可
3580,愛接觸,愛接觸,,愛接觸
3364,天然磨坊,天然磨坊,,天然磨坊
3357,必安住,必安住,,必安住
3355,和田寬,和田寬,,和田寬
3354,真鍋,真鍋,,真鍋
3353,莊淑旂養生莊園,莊淑旂養生莊園,,莊淑旂養生莊園
3349,再再之在,再再之在,,再再之在
3348,史努比,史努比,,史努比
3345,瑪宣妮,瑪宣妮,,瑪宣妮
3342,狀元,狀元,,狀元
3340,菇王食品,菇王食品,,菇王食品
3338,東森耐斯,東森耐斯,,東森耐斯
3337,明全牧場,明全牧場,,明全牧場
3334,植英房,植英房,,植英房
3333,船山舒雞,船山舒雞,,船山舒雞
3362,武山,武山,,武山
3581,富力森,富力森,,富力森
3585,豆腐盛田屋,豆腐盛田屋,,豆腐盛田屋
3588,必爾思,必爾思,,必爾思
3849,金金廣,金金廣,,金金廣
3847,幸福流域,幸福流域,,幸福流域
3846,寵愛物語,寵愛物語,,寵愛物語
3843,蘭韻,蘭韻,,蘭韻
3842,毛穴撫子,毛穴撫子,,毛穴撫子
3841,牙得安,牙得安,,牙得安
3838,優識立,優識立,,優識立
3824,七里香,七里香,,七里香
3823,唐美人,唐美人,,唐美人
3820,順光,順光,,順光
3819,綠地,綠地,,綠地
3818,夫力士,夫力士,,夫力士
3814,哈亞,哈亞,,哈亞
3812,普洛斯,普洛斯,,普洛斯
3809,幸福時光,幸福時光,,幸福時光
3808,老北,老北,,老北
3807,正豐,正豐,,正豐
3804,久保雅司,久保雅司,,久保雅司
3803,瘋喵,瘋喵,,瘋喵
3802,赤穗化成,赤穗化成,,赤穗化成
3799,家倍健,家倍健,,家倍健
3798,熊愛露,熊愛露,,熊愛露
3795,銀輝,銀輝,,銀輝
3793,牧真,牧真,,牧真
3789,成真咖啡,成真咖啡,,成真咖啡
3785,美膳雅,美膳雅,,美膳雅
3783,東森自然美,東森自然美,,東森自然美
3850,享夢城堡,享夢城堡,,享夢城堡
3859,丸龜製套,丸龜製套,,丸龜製套
3860,九陽,九陽,,九陽
3862,台灣好田,台灣好田,,台灣好田
3963,一午一食,一午一食,,一午一食
3956,富基-10,富基-10,,富基-10
3955,上元,上元,,上元
3953,台塩,台塩,,台塩
3950,華菱,華菱,,華菱
3946,唯浴雅,唯浴雅,,唯浴雅
3940,小澤,小澤,,小澤
3939,綠森活,綠森活,,綠森活
3935,百喬,百喬,,百喬
3927,美的,美的,,美的
3921,日虹牌,日虹牌,,日虹牌
3920,創益生技,創益生技,,創益生技
3911,土羊哥,土羊哥,,土羊哥
3777,綠藤生機,綠藤生機,,綠藤生機
