,brand_ch,brand_en,cleaned_brand,sim,certain,U
248,味王,,味王,"[('味王麵', 80), ('日本味王', 67), ('味全', 50), ('味丹', 50), ('獅王', 50), ('花王', 50), ('王牌', 50), ('新味', 50), ('厝味', 50), ('味榮', 50), ('菇王', 50), ('南王', 50), ('王朝', 50), ('大王', 50), ('鋒味', 50), ('和味', 50)]","[('味王麵', 80)]",1
249,沛綠雅,,沛綠雅,[],[],0
250,落建,,落建,"[('建銓', 50)]",[],0
251,萬寶路,,萬寶路,"[('寶路', 80)]","[('寶路', 80)]",1
252,芊柔,,芊柔,"[('詩柔', 50)]",[],0
253,無印良品,,無印良品,[],[],0
254,四葉,,四葉,"[('四季', 50), ('輝葉', 50), ('楓葉', 50)]",[],0
255,隨緣,,隨緣,"[('綺緣', 50)]",[],0
256,生活,,生活,"[('愛生活', 80), ('索樂生活', 67), ('生活工場', 67), ('生活良好', 67), ('嬌生', 50), ('優生', 50), ('新生', 50), ('優活', 50), ('樂活', 50), ('活力', 50), ('民生', 50)]","[('愛生活', 80)]",1
257,橘子工坊,,橘子工坊,"[('酵速工坊', 50), ('柑橘王子', 50), ('蜜蜂工坊', 50)]",[],0
258,靠得住,,靠得住,[],[],0
259,福樂自然零,,福樂自然零,"[('自然零', 75), ('福樂', 57), ('自然派', 50), ('饅自然', 50)]",[],0
260,石頭科技,,石頭科技,[],[],0
261,淬釀,,淬釀,[],[],0
262,愛可妮,,愛可妮,[],[],0
263,威德,,威德,"[('百威', 50), ('勁威', 50), ('威仕', 50), ('德記', 50), ('威寶', 50)]",[],0
264,享溫馨,,享溫馨,[],[],0
265,阿舍食堂,,阿舍食堂,"[('食芋堂', 57), ('御膳食堂', 50), ('深夜食堂', 50)]",[],0
