,brand_en,sim,cleaned_brand,certain,check
66,nars,"[('parrs', 67), ('naturals', 67), ('kangaroos', 62), ('targus', 60), ('arnest', 60), ('canary', 60), ('snails', 60), ('naf', 57), ('tunemakers', 57), ('nor.', 57), ('nac', 57), ('naturie', 55), ('lunasol', 55), ('artisan', 55), ('nursery', 55), ('niagara', 55), ('thayers', 55), ('converse', 50), ('natures care', 50)]",nars,[],0
67,more,"[('morphe', 80), ('biore', 67), ('omory', 67), ('morelife', 67), ('t core', 60), ('emborg', 60), ('modori', 60), ('kamome', 60), ('derma&more', 57), ('mei', 57), ('one', 57), ('nor.', 57), ('mon', 57), ('foramen', 55), ('matador', 55), ('timotei', 55), ('myhouse', 55), ('gourmet', 55), ('merrell', 55)]",more,[],0
68,poppop,"[('oppo', 80), ('onpro', 55), ('colourpop', 53), ('pato.pato', 53), ('peppa pig', 53), ('op', 50), ('lapolo', 50), ('kopiko', 50), ('probox', 50)]",poppop,[],0
69,winmax,"[('omax', 60), ('isana', 55), ('intex', 55), ('remax', 55), ('jsmax', 55), ('ttmax', 55), ('sigma', 55), ('vinata', 50), ('qidina', 50), ('akimia', 50), ('trimaxcell', 50), ('neatex', 50), ('nomama', 50), ('pinpai', 50)]",winmax,[],0
70,4u2,[],4u2,[],0
71,make up for ever,"[('ac makeup', 56)]",make up for ever,[],0
72,wild calling,"[('allegrini', 57), ('malu wilz', 57), ('wet n wild', 55), ('darling', 53), ('dashing diva', 50), ('care linkage', 50)]",wild calling,[],0
73,kumnong,"[('mihong', 62), ('uno', 60), ('mon', 60), ('kanokwan', 53), ('moonlight', 50), ('kimbo', 50), ('juono', 50), ('kurun', 50), ('bruno', 50), ('menow', 50), ('yunos', 50), ('akuma', 50), ('amino', 50), ('demon', 50), ('mizon', 50)]",kumnong,[],0
74,orion,"[('corona', 73), ('orihiro', 67), ('orip', 67), ('hori', 67), ('rivo', 67), ('corsini', 67), ('ioio', 67), ('oshimon', 67), ('briochin', 62), ('kirin', 60), ('ringo', 60), ('onpro', 60), ('orasi', 60), ('mizon', 60), ('guerisson', 57), ('profusion', 57), ('evolution', 57), ('refine', 55), ('aronyx', 55)]",orion,[],0
75,loshi,"[('flowfushi', 71), ('osim', 67), ('miyoshi', 67), ('oshimon', 67), ('asahi', 60), ('lotus', 60), ('logos', 60), ('orasi', 60), ('goshu', 60), ('velcos', 55), ('frosch', 55), ('lavons', 55), ('liphip', 55), ('shills', 55), ('oulisi', 55), ('lole’s', 55), ('fossil', 55), ('cocchi', 55), ('osmile', 55)]",loshi,[],0
76,k-swiss,"[('kiss', 73), ('kissme', 62), ('swissdent', 62), ('kisetsu', 57), ('tiss', 55), ('bhk’s', 50), (""bhk's"", 50), ('twist', 50), ('swift', 50)]",k-swiss,[],0
77,mk lab,"[('w.lab', 73), ('le labo', 62), ('lb tokyo', 57), ('m.a.c', 55), ('lasko', 55), ('luwak', 55), ('tklab', 55), ('a’kin', 55), ('ac makeup', 53), ('labo labo', 53), ('nail labo', 53), ('lb', 50), ('yamaki', 50), ('baby shark', 50), (""d'alba"", 50), ('lanami', 50), ('ak', 50), (""k'anho"", 50), ('lafe’s', 50)]",mk lab,[],0
78,heme,"[('heum', 75), ('three', 67), ('hereu', 67), ('homei', 67), ('homer', 67), ('cheers', 60), ('realme', 60), ('handme', 60), ('sohome', 60), ('mei', 57), ('she', 57), ('ems', 57), ('che gel', 55), ('heimish', 55), (""i'm meme"", 50), ('the saem', 50), ('more', 50), ('enne', 50), ('mega harvest', 50)]",heme,[],0
79,oxy,"[('pony', 57), ('sony', 57), ('koyo', 57), ('xbox', 57), ('oway', 57), ('posy', 57), ('xoxo', 57), ('oasy', 57), ('noyl', 57), ('hoya', 57), ('omax', 57), ('agoy', 57), ('honey', 50), ('epoux', 50), ('omory', 50), ('toffy', 50), ('romix', 50), ('wooly', 50), ('downy', 50)]",oxy,[],0
80,aronyx,"[('aroy-d', 67), ('nyx', 67), ('lacroix', 62), ('pony', 60), ('sony', 60), ('maro', 60), ('agoy', 60), ('orion', 55), ('sabon', 55), ('honey', 55), ('deary', 55), ('romix', 55), ('aroma', 55), ('downy', 55), ('ahoye', 55), ('rosy rosa', 53), ('bon aroma', 53), ('carome.', 50), ('avalon', 50)]",aronyx,[],0
81,algemarin,"[('garmin', 67), ('allegrini', 67), ('gemini', 67), ('alpecin', 62), ('argelan', 62), ('coleman', 62), ('sangaria', 59), ('hallmark', 59), ('arlem', 57), ('alyea', 57), ('amino', 57), ('guerisson', 56), ('nailmatic', 56), ('yamaki', 53), ('flexin', 53), ('jardin', 53), ('arlink', 53), ('lestar', 53), ('eclear', 53)]",algemarin,[],0
82,powerbomb,"[('powermate', 67), ('e-power', 62), ('a+ power', 62), ('joearo', 53), ('down power', 53), ('percol', 53), ('joroma', 53), ('probox', 53), ('sapporo', 50), ('medi flower', 50), ('oneroad', 50)]",powerbomb,[],0
83,alpecin,"[('algemarin', 62), ('flexin', 62), ('allegrini', 62), ('arlink', 62), ('farlin', 62), ('lec', 60), ('darling', 57), ('arencia', 57), ('stemcin', 57), ('champion', 53), ('aipinyue', 53), ('bluepine', 53), ('pecobono', 53), ('capitano', 53), ('haken', 50), ('j-lin', 50), ('aiken', 50), ('vacci', 50), ('aprilskin', 50)]",alpecin,[],0
84,dashing diva,"[('star fashion', 58), ('t-sing', 56), ('darling', 53), ('wild calling', 50), ('hida', 50), ('dr.shine', 50), ('nadeshia', 50), ('sangaria', 50)]",dashing diva,[],0
85,soto,"[('rasto', 67), ('lotto', 67), ('doutor', 60), ('soft99', 60), ('suunto', 60), ('sohome', 60), ('bonton', 60), ('jmsolution', 57), ('zoo', 57), ('stb', 57), ('esfolio', 55), ('sapporo', 55), ('einstok', 55), ('spococo', 55), ('scentio', 55), ('tom ford', 50), ('oppo', 50), ('sole', 50), ('sony', 50)]",soto,[],0
86,jacks,"[('starbucks', 57), ('ak', 57), ('jonzac', 55), ('franks', 55), ('abc', 50), ('ahc', 50), ('aoc', 50), ('jvc', 50), ('lac', 50), ('ace', 50), ('afc', 50), ('nac', 50)]",jacks,[],0
87,yebisu,"[('merbliss', 57), ('yubico', 50), ('eilles', 50)]",yebisu,[],0
88,missha,"[('msh', 67), ('mr&miss', 62), ('miyoshi', 62), ('heimish', 62), ('dermisa', 62), ('tiss', 60), ('kiss', 60), ('miau', 60), ('sasa', 60), ('miss seesaw', 59), ('merbliss', 57), ('amida', 55), ('isana', 55), ('sheba', 55), (""she's"", 55), ('midea', 55), ('5mins shaper pro', 55), ('elishacoy', 53), ('miss rose', 53)]",missha,[],0
89,a.h.c,"[('m.a.c', 80), ('cat chow', 62), ('n.a.f', 60), ('peach and', 57), ('rausch', 55), ('h.city', 55), ('abc', 50), ('ahc', 50), ('j.gasco', 50), ('maychic', 50), ('aoc', 50), ('ck n-95', 50), ('nac nac', 50), ('lac', 50), ('fantech', 50), ('chu', 50), ('kitchen art', 50), ('aha', 50), ('a&w', 50)]",a.h.c,[],0
