,brand_en,certain,check
808,ms.cosmed,[],0
809,extra mineral,[],0
810,oakley,[],0
811,mount hagen,[],0
812,yy bean coffee,[],0
813,idee,[],0
814,burt's bees,[],0
815,plants,[],0
816,yunos,[],0
817,palladium,[],0
818,ace,[],0
819,ginpo,[],0
820,wonder trend,[],0
821,pipper standard,[],0
822,narciso rodriguez,[],0
823,cc daily,[],0
824,powermate,[],0
825,his cafe,[],0
826,ktnet,[],0
827,jjpro,[],0
828,fiesta pure shine,[],0
829,gucci,[],0
830,tcstar,[],0
831,cock,[],0
832,moma,[],0
833,bixtar,[],0
834,craft boss,[],0
835,see you,[],0
836,hi-life,[],0
837,dr. skin,[],0
838,spococo,[],0
839,add+,[],0
840,chum churum,[],0
841,wide view,[],0
842,nacific,[],0
843,tcoffee,[],0
844,makeup revolution,[],0
845,qpnp,[],0
846,strivectin,[],0
847,alcatroz,[],0
848,lucas papaw,[],0
849,aito,[],0
850,hulu cat,[],0
851,oneroad,[],0
852,nadeshia,[],0
853,midea,[],0
854,youus,[],0
855,logos,[],0
856,paul mitchell,[],0
857,ozen,[],0
858,icooby,[],0
859,dear my,[],0
860,blendtec,[],0
861,motorola,[],0
862,niagara,[],0
863,sl,[],0
864,azio,[],0
865,amino mason,[],0
866,pl,[],0
867,moodmatcher,[],0
868,koji,[],0
869,temba,[],0
870,pet village,[],0
871,a+ power,[],0
872,natice,[],0
873,w.dressroom,[],0
874,fresh line,[],0
875,odlo,[],0
876,senscience,[],0
877,ks beauty,[],0
878,oulisi,[],0
879,face+,[],0
880,greenpan,[],0
881,vh,[],0
882,tau,[],0
883,fala,[],0
884,sangaria,[],0
885,disney,[],0
886,outsy select,[],0
887,ford,[],0
888,gourmet,[],0
889,push!,[],0
890,ivenor,[],0
891,eclear,[],0
892,sparkle,[],0
893,botanical esthe,[],0
894,tunemakers,[],0
895,nabi,[],0
896,pato.pato,[],0
897,wildalp,[],0
898,urban decay,[],0
899,superfood lab,[],0
900,pc park,[],0
901,catchup,[],0
902,thai coco,[],0
903,mixim potion,[],0
904,miine,[],0
905,keychron,[],0
906,post,[],0
907,nailmatic,[],0
908,giorgio armani,[],0
909,onpro,[],0
910,lilybyred,[],0
911,noodle & boo,[],0
912,ezlife,[],0
913,arome by watsons,[],0
914,one house,[],0
915,21plus,[],0
916,bioneed,[],0
917,dust daddy,[],0
918,ecos,[],0
919,attento,[],0
920,star fashion,[],0
921,emo perfect,[],0
922,tc,[],0
923,gelovery,[],0
924,ange,[],0
925,aroha triz,[],0
926,real thai,[],0
927,solan,[],0
928,orasi,[],0
929,akuma,[],0
930,lachesca,[],0
931,r-driver,[],0
932,thayers,[],0
933,tai tai fon,[],0
934,suunto,[],0
935,h&w,[],0
936,bone,[],0
937,valor,[],0
938,bffect,[],0
939,dr.vt,[],0
