,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
52,海洋拉娜,la mer,la mer海洋拉娜,[],0,[],0
53,阿曼特,armonto,armonto阿曼特,[],0,[],0
54,奇可俏可,chic choc,chic choc奇可俏可,[],0,"[('chicco', 80)]",0
55,三詩達,sunstar,sunstar三詩達,['三詩達'],0,[],0
56,味味,a,a味味,[],0,[],0
57,潘婷,pantene,pantene潘婷,[],0,[],0
58,戴爾,dell,dell戴爾,[],0,"[('ardell', 80)]",0
59,妍霓絲,eileen grace,eileen grace妍霓絲,[],0,[],0
60,品木宣言,origins,origins品木宣言,[],0,[],0
61,明洞國際,mdmmd,mdmmd明洞國際,['明洞國際'],0,"[('mdmmd', 100)]",0
62,聰明狗糧,iq dog,iq dog聰明狗糧,[],0,[],0
63,渴望,orijen,orijen渴望,[],0,[],0
64,呂,ryo,ryo呂,[],0,[],0
65,貝膚黛瑪,bioderma,bioderma貝膚黛瑪,[],0,[],0
66,歐都納,atunas,atunas歐都納,[],0,"[('catuna', 83)]",0
67,理膚寶水,la roche posay,la roche posay理膚寶水,['理膚寶水'],0,[],0
68,契爾氏,kiehl's,kiehl's契爾氏,[],0,[],0
69,上山採藥,tsaio,tsaio上山採藥,['上山採藥'],0,"[('sakio', 80)]",0
70,羅技,logitech,logitech羅技,[],0,[],0
71,意高,ego,ego意高,[],0,"[('go!', 80)]",0
72,水平衡,hydro balance,hydro balance水平衡,['水平衡'],0,[],0
73,聲寶,sampo,sampo聲寶,['聲寶'],0,[],0
74,艾惟諾,aveeno,aveeno艾惟諾,['艾惟諾'],0,[],0
75,蘇妮薩,sunisa,sunisa蘇妮薩,[],0,"[('suisai', 83)]",0
76,惜時,seeds,seeds惜時,[],0,[],1
77,日立,hitachi,hitachi日立,['itachi日立'],0,[],0
78,希爾思,hills,hills希爾思,[],0,"[('shills', 91), ('hiles', 80)]",0
79,媚比琳,maybelline,maybelline媚比琳,[],0,[],0
80,達特醫,dr.hsieh,dr.hsieh達特醫,[],0,"[('dr.hsieh', 100)]",0
81,阿加菲亞老奶奶,grandmother agafia,grandmother agafia阿加菲亞老奶奶,[],0,[],0
82,西莎,cesar,cesar西莎,[],0,[],0
83,禾聯,heran,heran禾聯,['禾聯'],0,[],0
84,台塑生醫,dr’s formula,dr’s formula台塑生醫,['台塑生醫'],1,[],0
85,佑天蘭,utena,utena佑天蘭,[],0,[],0
86,強品,chian pin,chian pin強品,[],0,[],0
87,美萃,mature,mature美萃,[],0,[],0
