,index,name,clean_name
113,505,歌林8kg定頻洗衣機bw-8s01[bw-8s01],歌林定頻洗衣機bw8s01bw8s01
114,509,現貨 apple iphone 12 128g // a14 cpu,apple iphone 12   a14 cpu
115,518,【pearl horse 寶馬】316七層複合金炒鍋42cm雙耳(ta-s-119-042),pearl horse 寶馬316七層複合金炒鍋雙耳tas119042
116,521,代收代付 - 1028 終極抗暈人魚眼線液ex版(黑)0.5g【小三美日】$360, 1028 終極抗暈人魚眼線液ex版黑小三美日
117,522,excel 漸層魅色腮紅02珊瑚杏桃,excel 漸層魅色腮紅02珊瑚杏桃
118,525,ariel 3d超濃縮抗菌洗衣膠囊17顆盒裝,ariel 3d超濃縮抗菌洗衣膠囊盒裝
119,527,adidas originals 連帽上衣 男 cw1246-xs,adidas originals 連帽上衣 男 cw1246xs
120,528,alpecin 洗髮露 6pk,alpecin 洗髮露 6pk
121,530,422 air fryer af13l 氣炸烤箱(黑色),422 air fryer af 氣炸烤箱黑色
122,533,愛之味 純濃燕麥 340ml/瓶 葡萄糖胺活力雙效290ml/瓶 12瓶/箱  草莓燕麥 御藜麥 點心飲料【fd001】,愛之味 純濃燕麥  葡萄糖胺活力雙效 箱  草莓燕麥 御藜麥 點心飲料fd001
123,535,whirlpool惠而浦 6l節能除濕機 wdem12w【比漾廣場】,whirlpool惠而浦 節能除濕機 wdem12w比漾廣場
124,536,!b-艾瑪絲-5α高效控油洗髮精400ml,艾瑪絲5α高效控油洗髮精
125,538,羅技 m350滑鼠 風格上蓋-粉櫻初綻,羅技 m350滑鼠 風格上蓋粉櫻初綻
126,541,來復易防漏安心紙尿褲 m16p,來復易防漏安心紙尿褲 m16p
127,543,日本jacks極細毛牙刷4列(軟毛),日本jacks極細毛牙刷4列軟毛
128,554,露華濃迷你精裝8色眼影盤920謎樣女神,露華濃迷你精裝8色眼影盤920謎樣女神
129,560,特潤奶霜唇膏-#333赤茶無花果,特潤奶霜唇膏333赤茶無花果
130,566,(銷)海尼根0‧0零酒精330ml6入,銷海尼根0‧0零酒精
131,568,【福利品】asus 華碩 zenfone 6 zs630kl 智慧手機  (6g/128g)-網,福利品asus 華碩 zenfone 6 zs630kl 智慧手機  網
132,569,asics gel-nandl 白色 皮質 休閒運動鞋 女款 no.j0522【新竹皇家 1021a315-100】,asics gelnandl 白色 皮質 休閒運動鞋 女款 noj0522新竹皇家 100
133,571,【nike 耐吉】休閒鞋 男女鞋 復古 麂皮 運動鞋 air tailwind 79 白 487754-100,nike 耐吉休閒鞋 男女鞋 復古 麂皮 運動鞋 air tailwind 79 白 
134,580,【new balance】nb 45x 復古慢跑鞋 男/女(共四色),new balancenb 45x 復古慢跑鞋 男女共四色
135,584,【sebamed 施巴】嬰兒防曬乳spf50 50ml(快速到貨),sebamed 施巴嬰兒防曬乳spf50 快速到貨
136,591,【lion 獅王】奈米樂超濃縮洗衣精-淨白/抗菌任選1+3件組(淨白660gx1+950gx3/抗菌660gx1+900gx3),lion 獅王奈米樂超濃縮洗衣精淨白抗菌1組淨白抗菌
137,600,代收代付 - (福利品)【聲寶】1.2l不鏽鋼快煮壺 kp-l1022sl 保固免運, 福利品聲寶不鏽鋼快煮壺 kpl1022sl 保固免運
138,606,歌林kolin  樂活隨行果汁機 kje-ud638w (3杯組),歌林kolin  樂活隨行果汁機 kjeud638w 組
139,612,★cp籽★新爐付殼 岩谷日本製【現地保固】iwatani 防風瓦斯爐 岩谷 4.1 cb-ah-41 卡式爐 岩谷4.1,cp籽新爐付殼 岩谷日本製現地保固iwatani 防風瓦斯爐 岩谷 41 cbah41 卡式爐 岩谷
140,614,samsung galaxy tab s6 10.5 t860 wifi平板電腦-冰川藍,samsung galaxy tab s6 105 t860 wifi平板電腦冰川藍
141,615,rasto rm1 四鍵式靜音無線滑鼠,rasto rm1 四鍵式靜音無線滑鼠
142,616,110260241279 羅技 珍珠白/k580超薄跨平台藍牙鍵盤,羅技 珍珠白k580超薄跨平台藍牙鍵盤
143,619,【1028】超極控暈 暹羅貓眼線液(3色任選),1028超極控暈 暹羅貓眼線液3色
144,621,electrolux 瑞典 伊萊克斯-well q7-p 2合1無線直立吸塵器 (wq71-2bswf) 白,electrolux 瑞典 伊萊克斯well q7p 2合1無線直立吸塵器 wq712bswf 白
145,630,媚比琳fit me反孔特霧粉底液 122 30ml,媚比琳fit me反孔特霧粉底液 122
146,633,日立10l清淨型除濕機(天晴藍)[rd-200hh],日立清淨型除濕機天晴藍rd200hh
147,635,nike 老爹鞋 w ryz 365 厚底 休閒 女鞋 網美 穿搭鞋 流行 鏤空  麂皮 皮革 黑 白  bq4153-003,nike 老爹鞋 w ryz 365 厚底 休閒 女鞋 網美 穿搭鞋 流行 鏤空  麂皮 皮革 黑 白  bq
148,641,lexma m300r 無線光學滑鼠 限定q版彩虹獨角獸彩繪,lexma m300r 無線光學滑鼠 限定q版彩虹獨角獸彩繪
149,649,代收代付 - 蘇菲娜漾緁輕妝綺肌長效粉餅進化版粉盒 (2018), 蘇菲娜漾緁輕妝綺肌長效粉餅進化版粉盒 2018
