,cleaned_brand,certain,sim
109,伯朗,[],"[('伯朗咖啡', 67), ('緹朗', 50), ('伯爵', 50)]"
110,biore蜜妮,"[('biore', 83)]","[('biore', 83), ('bioneo德國百妮', 59), ('biolead', 57), ('bioes囍瑞', 57), ('bioneed', 57), (""men's biore"", 56), ('more', 55), ('rire', 55), ('dior', 55), ('bone', 55), ('biofuture苾菲絲', 53), ('labiotte', 53), ('burge', 50), ('boreal波瑞歐', 50), ('ivory', 50)]"
111,白鴿,[],"[('白人', 50), ('白雪', 50), ('麗白', 50), ('白象', 50)]"
112,gum,[],"[('g&m', 67), ('gourmia', 60), ('gourmet', 60), ('puma', 57), ('heum', 57), ('ogeu', 57), ('oguma水美媒', 55), ('izumi', 50), ('gucci', 50), ('akuma', 50), ('goshu', 50), ('sigma', 50), ('osuma', 50)]"
113,dr.spa,[],"[('dr.satin', 71), ('dr.hows', 62), ('dr.jart+', 62), ('dermisa', 62), ('dr. skin', 62), ('d-up', 60), ('\u200ed-up\u200e', 60), ('mr.smart', 57), ('dr.hsieh', 57), ('dr.shine', 57), ('dr.konopka’s', 56), ('fresa', 55), ('derma', 55), ('spa絲帕', 55), ('dr.藝群', 55), ('dr.vt', 55), ('farm stay', 53), ('dr pepper', 53), ('dr.may美博士', 53)]"
114,greens葛莉思,[],"[('green綠的', 62), ('greenon', 62), ('freeplus芙莉思', 60), ('greenies新健綠', 60), ('greenpan', 59), ('greenwood', 56), ('greenvines綠藤生機', 52), (""men's biore"", 50), ('okogreen生態綠', 50), ('essenso', 50)]"
115,puma,[],"[('pupa', 75), ('akuma', 67), ('osuma', 67), ('parfum', 60), ('pureal', 60), ('gum', 57), ('optimum', 55), ('uniqman', 55), ('pascual', 55), ('soapmax', 55), ('gourmia', 55), ('van pur', 55), ('premiumcare', 53), ('eupa', 50), ('heum', 50), ('pure', 50), ('puku', 50), ('luna', 50), ('maro', 50)]"
116,kanebo佳麗寶-開架式,"[('kanebo佳麗寶', 82)]","[('kanebo佳麗寶', 82)]"
117,e-books,[],"[('brooks', 77), ('brook’s', 71), ('bokbok', 62), ('bosley', 62), ('noodle & boo', 59), ('noodle&boo', 59), ('le labo', 57), ('on the body', 56), ('baekoksaeng', 56), ('bone', 55), ('biore', 50), ('bhk’s', 50), ('e.dot', 50), ('oster', 50), ('new beads', 50), ('the body shop', 50), (""bhk's"", 50), (""she's"", 50), ('kokie', 50)]"
118,東成,[],"[('東泉', 50), ('東芝', 50), ('東元', 50), ('東凌', 50), ('和成', 50), ('東邦', 50), ('信東', 50), ('東銘', 50)]"
119,califia farms,[],"[('dairy farmers', 62), ('clair paris', 58), ('cama cafe', 55)]"
120,la mer海洋拉娜,[],"[('black monster', 52), ('mk lab', 50), ('lameila拉美拉', 50)]"
121,依必朗,[],[]
122,armonto阿曼特,[],"[('animonda阿曼達', 57), ('bon aroma', 53), ('armani亞曼尼', 53), ('amino', 53), ('aronyx', 50), ('garmin', 50), ('aroma zone', 50), ('airmate艾美特', 50), ('arnest', 50), ('bonton', 50)]"
123,多喝水,[],[]
124,南僑,[],"[('寶僑', 50), ('南王', 50)]"
125,superfiber,[],"[('perrier沛綠雅', 60), ('burberry', 56), ('perfect理想', 53), ('perioe倍麗兒', 53), ('ice river', 53), ('super pad', 53), ('lubriderm', 53), ('superfood lab', 52), ('refine', 50), ('persil', 50), ('super mild', 50), ('espoir', 50), ('super love', 50)]"
126,watsons,"[('watsons屈臣氏', 82)]","[('watsons屈臣氏', 82), ('swanson', 71), ('masions美心', 62), ('lavons', 62), ('seasons四季', 62), ('arome by watsons', 61), ('jason捷森', 57), ('awson歐森', 57), ('thomson', 57), ('artisan', 57), ('sony', 55), ('tiss', 55), ('aito', 55), ('cass', 55), ('collagen by watsons', 54), ('naturals by watsons', 54), ('cath kidston', 53), ('star fashion', 53), ('natures organics', 52)]"
127,台灣啤酒,[],"[('台酒', 67), ('台啤', 67), ('台灣農林', 50), ('台灣好漁', 50), ('台灣伊日', 50), ('台酒生技', 50), ('台灣三洋', 50), ('台灣g霸', 50), ('台灣好田', 50)]"
128,愛爾曼,"[('愛爾', 80)]","[('愛爾', 80), ('愛爾康', 67)]"
129,1028,[],"[('080', 57), ('2080', 50)]"
130,寶亨,[],"[('聲寶', 50), ('寶僑', 50), ('寶馬', 50), ('寶路', 50), ('鍋寶', 50), ('古寶', 50), ('諾寶', 50), ('藍寶', 50), ('寶島', 50), ('培寶', 50), ('旺寶', 50), ('寶仕', 50), ('金寶', 50), ('奇寶', 50), ('威寶', 50)]"
131,聖佩黎洛,[],[]
132,chic choc奇可俏可,[],"[('chicco', 63), ('ok choice', 55), ('coca cola可口可樂', 54)]"
133,milani,[],"[('gemini', 67), ('lanami', 67), ('milklab', 62), ('leanani', 62), ('familia', 62), ('lilfant', 62), ('fila', 60), ('miau', 60), ('giovanni', 57), ('famiclean全家安', 56), ('amida', 55), ('isana', 55), ('avila', 55), ('man-q', 55), ('flair', 55), ('masil', 55), ('ikari', 55), ('midea', 55), ('miine', 55)]"
134,sunstar三詩達,[],"[('suntory三得利', 60), ('star fashion', 55), ('sunisa蘇妮薩', 53), ('sentosa三多', 53), ('lestar', 50), ('suisai', 50), ('tcstar', 50), ('suunto', 50), ('sunkist香吉士', 50), ('a star', 50)]"
135,cheers,"[('cheerios', 86)]","[('cheerios', 86), ('skechers', 71), ('maycheer', 71), ('cheersjelly', 71), ('cherry', 67), ('che gel', 62), ('thayers', 62), ('schesir', 62), ('chefrun', 62), ('heme', 60), ('fees', 60), ('maycheer美茜兒', 59), ('copper chef', 59), ('yves rocher', 59), ('converse', 57), ('cherie法麗', 57), ('avengers', 57), ('heller嘉儀', 57), ('lachesca', 57)]"
136,botanist,[],"[('botanical esthe', 70), ('beanies', 67), ('twist', 62), ('ocanis歐卡尼', 59), ('bonika', 57), ('arnest', 57), ('bandai', 57), ('botanical 1st', 57), ('bonton', 57), ('bondi wash', 56), ('barista西雅圖', 56), ('bioliss', 53), ('bronson', 53), ('sanbisi', 53), ('tai tai fon', 53), ('forcans', 53), ('vt cosmetics', 50), ('boneplus', 50), ('tiss', 50)]"
137,k-palette,[],"[('patto', 57), ('lotte', 57), ('kate凱婷', 53), ('skater', 53), ('skinpastel', 53), ('petest', 53), ('lotte樂天', 50), ('peter饗食', 50), ('rosette', 50), ('kiwipet', 50), ('sparkles sp', 50), ('sparkle', 50), ('attento', 50), ('petit小小', 50)]"
138,a味味,[],"[('味味麵', 67), ('味味一品', 57)]"
139,go!,[],"[('agoy', 67), ('ego意高', 57), ('ringo', 57), ('sugao', 57), ('ginpo', 57), ('logos', 57), ('goshu', 57), ('g7', 50), ('gw', 50), ('jigott', 50), ('lg', 50), ('op', 50), ('kangol', 50), ('goen御宴', 50), ('google', 50), ('golife', 50), ('glolux', 50), ('golden', 50)]"
140,百威,[],"[('勁威', 50), ('威德', 50), ('威仕', 50), ('百齡', 50), ('威寶', 50), ('百喬', 50)]"
141,pantene潘婷,[],"[('panrose潘柔', 56), ('andzen', 53), ('kate凱婷', 53), ('shanen', 53), ('antian', 53), ('plants', 53), ('cezanne', 50), ('avene雅漾', 50), ('new balance', 50), ('catfeet', 50), ('elastine伊絲婷', 50), ('visee avant', 50), ('fantech', 50), ('attento', 50)]"
142,佳士達,[],[]
143,沙威隆,[],[]
144,dell戴爾,[],"[('ardell', 67), ('delta', 55), ('el伊德爾', 55), ('delux', 55), ('eilles', 50), ('dermal', 50), ('goldwell歌薇', 50), ('lideal', 50)]"
145,eileen grace妍霓絲,[],"[('amazin graze', 52)]"
146,來復易,[],[]
147,味全林鳳營,[],"[('味全', 57), ('林鳳營特濃優格', 50), ('林鳳營精品優格', 50)]"
148,愛之味,[],"[('蒸鮮之味', 57)]"
149,origins品木宣言,[],"[('orion', 50)]"
150,mdmmd明洞國際,[],"[('mdmmd', 71), ('明洞國際', 62)]"
151,iq dog聰明狗糧,[],"[('iq cat聰明貓乾糧', 57)]"
152,adidas,"[('adidas愛迪達', 80)]","[('adidas愛迪達', 80), ('amida', 73), ('zavida', 67), ('add+', 67), ('diadora', 62), ('hida', 60), ('acmedica', 57), ('paddywax', 57), ('samdasoo', 57), ('nadeshia', 57), ('aveda', 55), ('avila', 55), ('taiga', 55), ('daodi', 55), ('midea', 55), ('ediya', 55), ('canidae卡比', 53), ('idea auto', 53), ('radius雷迪兒', 53)]"
153,orijen渴望,[],"[('orion', 62), ('foramen', 53), ('corsini', 53), ('ricenal', 53), ('more', 50), ('rire', 50), ('orip', 50), ('hori', 50), ('b.friend', 50), ('ozen', 50), ('morelife', 50)]"
154,ryo呂,[],"[('koyo', 50), ('yome', 50), ('dydo', 50), ('maro', 50), ('rivo', 50), ('rudy', 50)]"
155,馬爾斯,[],[]
156,bioderma貝膚黛瑪,[],"[('dermal德瑪', 60), ('derma', 59), ('sesderma賽斯黛瑪', 58), ('derma丹麥德瑪', 57), ('deerma德爾瑪', 57), ('lubriderm', 57), ('dermal', 56), ('biolead', 53), ('dermisa', 53), ('biotherm碧兒泉', 52), ('loveisderma愛斯德瑪', 52), ('dermacol', 50)]"
157,atunas歐都納,[],"[('catuna', 67), ('naturals', 59), ('abuns', 57), ('tunemakers', 53), ('watsons', 50), ('lunasol', 50)]"
158,la roche posay理膚寶水,[],[]
159,kiehl's契爾氏,[],[]
160,tsaio上山採藥,[],"[('上山採藥', 62), ('sakio', 57), ('dtaudio', 50)]"
161,莎啦莎啦,[],"[('嚕啦啦', 57)]"
162,illy,[],"[('cily', 75), ('sillymann', 62), ('eilles', 60), ('mill挪威', 60), ('shills', 60), ('tilley皇家特莉', 57), ('tilley百年特莉', 57), ('firefly', 55), ('grizzly', 55), ('milklab', 55), ('wildalp', 55), ('hills希爾思', 50), ('fila', 50), ('maxill美適', 50), ('city', 50), ('skinvill', 50), ('cc daily', 50), ('tigullio', 50), ('piacelli', 50)]"
163,雲斯頓,[],[]
